Site,N,shannon.di,simpson.di,inv.simpson.di,richness,evenness,City,Long,Lat
G-CLP3,507,1.3927079550169439,0.6990340363121428,3.3226348512854984,9,0.6338487059458335,tawa,-122.51054008250264,47.24624781414887
G-CBP2,188,1.363563977964131,0.6736079674060661,3.0638002773925104,7,0.7007332679908702,tawa,-122.42682678938668,47.1883010270148
G-WLP2,212,1.353697612165613,0.7123531505873977,3.476485148514851,7,0.6956629589617982,tawa,-122.47154011345285,47.177650308061786
P-OB,151,1.342550235529129,0.6654971273189771,2.989510947948079,8,0.6456301889807281,tawa,-122.5304601657384,47.31318888282613
P-DPV,275,1.3367337112418702,0.6476694214876033,2.838243572902983,9,0.608373729763411,tawa,-122.5436402745423,47.3165085016772
WP,171,1.2785886842415861,0.6590745870524264,2.93319289798375,7,0.6570646054044718,oaca,-122.14016165799896,37.753773534843326
CB,101,1.2744762089852844,0.6171943927065975,2.6122919334186943,8,0.6128935021446786,oaca,-122.18035727643792,37.803142529093726
GT,9,1.2730283365896258,0.691358024691358,3.24,5,0.7909769782074466,oaca,-122.11884806430687,37.75976297425415
MT,139,1.2576956224741584,0.6404430412504529,2.781200518209299,7,0.6463276955951618,oaca,-122.1403056978608,37.7922600644958
H01-DEB1,300,1.241838022103216,0.6388,2.7685492801771874,7,0.6381785010505725,paca,-118.19955983106364,34.09682057580613
CalT02,64,1.1815250140274298,0.634765625,2.7379679144385025,6,0.6594216658648201,lbca,-117.88108802642428,33.8052705724534
DY,164,1.1404830684983245,0.6316180844735276,2.7145740815502624,6,0.6365157199306889,oaca,-122.18298694516211,37.78612625493866
G-SB,453,1.1393088417915194,0.5508627789229517,2.2264910434320306,8,0.5478917386978579,tawa,-122.52996962188313,47.298191196125245
H01-SPS1,92,1.1221954180256801,0.5614366729678639,2.280172413793103,6,0.6263091878672512,paca,-118.16734266948976,34.124358734572354
G-TNC2,1018,1.11584474839299,0.5610195267117235,2.278005653666751,10,0.48460521688779795,tawa,-122.49030793253216,47.240324138072616
OAK,46,1.1063859240941527,0.5633270321361058,2.2900432900432897,7,0.5685698924132099,lbca,-117.80007884799603,33.81065672706404
MA,20,1.094408629847781,0.5399999999999999,2.1739130434782603,6,0.6108010861074371,oaca,-122.19667933091584,37.72322142384811
G-SERA,533,1.0727019272162663,0.5556850142032955,2.250655575361458,8,0.5158605835823138,tawa,-122.49118989961514,47.20279106036013
P-MKP3,310,1.0372278186907515,0.4836004162330906,1.9364849071051466,8,0.49880114343240806,tawa,-122.4237000776792,47.2352303289375
H01-OXY1,319,1.0270590598494362,0.5128487337978203,2.0527504891775763,9,0.46743472216871873,paca,-118.20939813219788,34.126927657671985
PER,370,1.001424989117641,0.5642512783053324,2.2949005934220676,5,0.6222203300797695,oaca,-122.19950062871013,37.714642110545945
P-OV2,97,1.0004351657852941,0.4742268041237113,1.9019607843137254,8,0.48110761746979064,tawa,-122.34327690455926,46.87009737411258
H01-HFR1,209,0.9993306612130035,0.41528353288615194,1.7102306096080813,13,0.38961028930489877,paca,-118.28028507983583,34.22324078580839
P-SCP2,370,0.9888777402113117,0.489554419284149,1.959072696050372,8,0.47554967061611475,tawa,-122.3973902834904,47.22107090831066
P-UWT,605,0.9846612795442202,0.5156751588006283,2.0647299393597516,7,0.5060157993534525,tawa,-122.440170358001,47.2428796550409
G-FP1,1071,0.9794764281896866,0.45677355909684136,1.8408529568947671,8,0.47102859520563195,tawa,-122.48001311823172,47.24660376310076
AB,828,0.9760107012664463,0.572851758500782,2.3411076128750268,7,0.5015702815159647,oaca,-122.23759206133576,37.79586579832616
H01-TMC1,411,0.9289522487225862,0.5521160779299199,2.232721360878702,6,0.5184581215707527,paca,-118.18140606023437,34.17571692711669
BT,13,0.8587409130062867,0.5207100591715976,2.0864197530864197,4,0.6194506283013154,oaca,-122.09740103019818,37.74199827050061
PWETZ01,77,0.8346571247258714,0.45201551695058184,1.82486919052016,6,0.46583101083621864,lbca,-117.783433805852,33.793357122951015
HT,340,0.7843240412155981,0.36198961937716256,1.5673726170783955,8,0.37718013490391145,oaca,-122.12520031814924,37.775504171738376
H01-HNP1,239,0.766135365336093,0.46301710404229623,1.862256707853813,5,0.4760266670849057,paca,-118.17428217013232,34.19328012284418
EN,2,0.6931471805599453,0.5,2,3,0.6309297535714574,oaca,-122.20792986879542,37.73048775392695
IRC01,20,0.6881388137135884,0.4949999999999999,1.9801980198019797,3,0.626370941606566,lbca,-117.74100210763476,33.77069310192292
H01-CCH1,47,0.685698853297424,0.4300588501584427,1.7545671167593326,4,0.49462716759772124,paca,-118.19473427204494,34.17062801301575
H01-WWD1,552,0.6831348527783233,0.3003636315900019,1.4293139195616886,10,0.2966816969574161,paca,-118.2582246305454,34.21661561280118
IRC06,16,0.6615632381579821,0.46875,1.8823529411764706,3,0.6021808102656678,lbca,-117.65291929031022,33.73468139211798
H01-FIR2,3,0.6365141682948128,0.4444444444444444,1.7999999999999998,3,0.5793801642856949,paca,-118.21556469284234,34.17285827499284
HBT,3,0.6365141682948128,0.4444444444444444,1.7999999999999998,3,0.5793801642856949,oaca,-122.1082052795166,37.72840774799266
IRC05,3,0.6365141682948128,0.4444444444444444,1.7999999999999998,3,0.5793801642856949,lbca,-117.66801033275596,33.745793332380615
G-JP,932,0.6243986689035855,0.2957528228554588,1.4199559933695807,8,0.30027228772162423,tawa,-122.48980021466647,47.25733785038378
G-VP,567,0.6137624520772087,0.26420810665372696,1.3590799369263875,9,0.2793353298556749,tawa,-122.5200102255112,47.27992829292994
P-TE2,267,0.6116417340150531,0.25260559132545013,1.3379816444886548,9,0.2783701494712798,tawa,-122.27951048782658,46.92219579840345
ED06,97,0.5702965441370216,0.3018386651078756,1.4323336885370683,4,0.41138199803129744,lbca,-117.86499394691326,33.813104579469865
PWETZ02,124,0.5306468016317659,0.2463579604578563,1.3268898860890574,6,0.2961596189361203,lbca,-117.77695209834594,33.788527901882254
CalT03,203,0.49425954756908475,0.2530515178723095,1.3387804164906925,4,0.35653289909497066,lbca,-117.90364066179934,33.80272646064966
H18,161,0.46384774900026454,0.2570888468809073,1.3460559796437657,4,0.33459542360509514,oaca,-122.12281431345347,37.7423411134739
IRC04,17,0.4437572842601484,0.2145328719723183,1.2731277533039647,4,0.32010321668023506,lbca,-117.68302581073524,33.75233115011393
ELMOD,73,0.4387309104699517,0.22142991180334026,1.2844058809351653,4,0.3164774544098496,lbca,-117.79282699635732,33.79870845016335
G-KP2,497,0.4282391909554953,0.18034160698598023,1.2200204481806551,7,0.22007141036979216,tawa,-122.50799150845162,47.269061297727504
ED01,84,0.36502313423558724,0.20975056689342408,1.265423242467719,3,0.33225837540750514,lbca,-117.98770203485851,33.804787626724554
ED05,165,0.24444027628601264,0.09373737373737367,1.1034329023629068,5,0.15187928306990311,lbca,-117.92932622641054,33.807315562752066
H01-WAV1,312,0.16337275990224348,0.06254109138724528,1.0667134215832383,4,0.11784853526365498,paca,-118.31108646234128,34.24302479928483
P-GP,100,0.11190205689093088,0.0394000000000001,1.0410160316468875,4,0.08072027127091032,tawa,-122.45745032482698,47.269890460874926
DK,46,0.10473243910508653,0.04253308128544431,1.0444225074037514,3,0.0953315743737563,oaca,-122.20900282254252,37.74296907041338
CalT01,2,0,0,1,2,0,lbca,-117.91630006668773,33.815719290585086
ED07,1,0,0,1,2,0,lbca,-117.8522994739004,33.813192955781574
H01-RHR1,4,0,0,1,2,0,paca,-118.15865713228422,34.21804765416623
MY,0,0,1,Inf,1,NA,oaca,-122.209320587315,37.7778336851881
P-WWP,1,0,0,1,2,0,tawa,-122.27665975935894,47.17281070545192
