Site,season,City,Long,Lat,Black.bear,Bobcat,Brush.Rabbit,California.Ground.Squirrel,Coyote,Deer,Domestic.cat,Domestic.dog,Douglas.squirrel,Eastern.gray.squirrel,Elk,Fox.squirrel,Gray.fox,Mountain.lion,Rabbit,Raccoon,Red.fox,Stoat,Striped.Skunk,Virginia.opossum,Weasel..cannot.ID.,Western.Chipmunks,Western.gray.squirrel,utmZone,prop_veg,imp_surf,rank_buff,huden2010,med_inc
H01-DEB1,AP21,paca,-118.19955983106364,34.09682057580613,0,0,0,17,4,0,1,0,0,0,0,29,0,0,32,0,0,0,7,0,0,0,0,11,0.9974683544303797,15.843114801030632,7.3,168.0363847242152,102000
H01-FIR2,AP21,paca,-118.21556469284234,34.17285827499284,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,13.154462242562929,5.804,76.27549252206076,112684.41518987341
H01-HFR1,AP21,paca,-118.28028507983583,34.22324078580839,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,11,1,0.14491086831512362,5.485127551020408,0,131058
H01-HNP1,OC20,paca,-118.17428217013232,34.19328012284418,0,4,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.9025641025641026,16.239794461889808,6.11,7.749737597358974,92917
H01-OCC1,AP21,paca,-118.23502371495428,34.201521140726356,0,0,0,0,2,12,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,0.9873417721518988,19.576174112256588,5.931878481012658,626.4569997741754,99417.70886075949
H01-OXY1,JA21,paca,-118.20939813219788,34.126927657671985,1,0,0,0,1,0,0,1,0,0,0,43,0,0,17,211,0,0,1,0,0,0,0,11,0.9458762886597938,22.518646012621915,5.275,219.10074050311647,90455.59278350516
H01-RHR1,JU21,paca,-118.15865713228422,34.21804765416623,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,3.228784403669725,5.233038363171355,108.00268113546782,107729.91815856777
H01-SPS1,JU21,paca,-118.16734266948976,34.124358734572354,0,0,0,12,0,0,0,4,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,11,0.8835443037974684,21.45995423340961,5.7174750830564784,434.1582661118228,119823.51898734177
H01-TMC1,AP21,paca,-118.18140606023437,34.17571692711669,0,1,0,0,20,20,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,1,16.039862345856037,6.2,251.3504244876183,221375
H01-WAV1,JA21,paca,-118.31108646234128,34.24302479928483,0,4,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,11,0.9139240506329114,1.9922658264107707,5.8390126582278485,73.68838803116098,68532.6835443038
H01-WWD1,JA21,paca,-118.2582246305454,34.21661561280118,0,1,0,0,0,0,0,171,0,0,0,0,1,0,36,0,0,0,1,0,0,0,0,11,1,5.188376753507014,5.38,21.862572113939393,131058
IRC01,JU21,lbca,-117.74100210763476,33.77069310192292,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.871536523929471,3.301087578706354,5.49,0.012874805042622166,102567.83375314862
IRC02,AP21,lbca,-117.7253524420718,33.76796313242066,0,4,17,1,6,1,0,0,0,0,0,0,53,0,0,0,0,0,4,5,0,0,0,11,0.9974358974358974,1.9954075774971298,5.49,0.06759880769072307,112655.06410256411
IRC03,AP21,lbca,-117.70310242313036,33.76085865201455,0,2,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,11,1,1.3990260670295045,5.49,0,116650.22081218274
IRC04,JU21,lbca,-117.68302581073524,33.75233115011393,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,2.061962134251291,4.886405063291139,0.10700018681983545,141315.82025316457
IRC05,AP21,lbca,-117.66801033275596,33.745793332380615,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.9923469387755102,3.1890575766256086,4.18,6.315636905781123,122361.25
IRC06,JU21,lbca,-117.65291929031022,33.73468139211798,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.9974683544303797,2.048780487804878,4.18,1.1953189601472658,121812.08101265822
IRC07,OC20,lbca,-117.6474829372618,33.719440685685356,0,6,19,0,0,4,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,11,0.09090909090909091,2.057052752293578,4.18,4.001152944702096,134619.72727272726
OAK,AP21,lbca,-117.80007884799603,33.81065672706404,0,0,27,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,11,0.8239795918367347,17.278048780487804,5.102372448979592,199.35643627920842,120314.25510204081
PWETZ01,JU21,lbca,-117.783433805852,33.793357122951015,0,2,29,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.9822335025380711,20.033256880733944,4.232131979695431,265.9881633341726,158361.60152284263
PWETZ02,AP21,lbca,-117.77695209834594,33.788527901882254,0,7,3,0,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0.9846938775510204,20.848224513172966,3.71,514.5195746987127,156336
