Site,N,shannon.di,simpson.di,inv.simpson.di,richness,evenness,City,Long,Lat,utmZone,prop_veg,imp_surf,rank_buff,huden2010,med_inc,urb_pca
G-KP2,497,0.4282391909554953,0.18034160698598023,1.2200204481806551,7,0.22007141036979216,tawa,-122.50799150845162,47.269061297727504,10,0.95625,22.960401721664276,6.38125,546.1041409885687,77322.90833333334,-0.8387094816869023
G-SB,453,1.1393088417915194,0.5508627789229517,2.22649104343203,8,0.5478917386978579,tawa,-122.52996962188313,47.298191196125245,10,0.9432773109243697,9.008890163464295,5,237.50194768380672,88606,0.6963509673848022
G-SERA,533,1.0727019272162663,0.5556850142032955,2.250655575361458,8,0.5158605835823138,tawa,-122.49118989961514,47.20279106036013,10,0.9435146443514645,22.55775293780453,8.867154811715482,180.17169196085084,53605.63807531381,-0.3715281345039043
G-TNC2,1018,1.11584474839299,0.5610195267117235,2.278005653666751,10,0.4846052168877979,tawa,-122.49030793253216,47.240324138072616,10,0.9978813559322034,21.75567039908125,7.5,297.5917582951695,70967,-0.3662643534953094
G-VP,567,0.6137624520772087,0.26420810665372696,1.3590799369263875,9,0.2793353298556749,tawa,-122.5200102255112,47.27992829292994,10,0.9958246346555324,17.994262765347102,4,540.2620530184552,71810,-0.35342679177066894
G-WLP2,212,1.353697612165613,0.7123531505873977,3.476485148514851,7,0.6956629589617982,tawa,-122.47154011345285,47.177650308061786,10,0.9705263157894737,22.312607449856735,7.5,511.11304239036843,44366,-0.7191197504128171
GT,9,1.2730283365896258,0.691358024691358,3.24,5,0.7909769782074466,oaca,-122.11884806430687,37.75976297425415,10,1,5.872602347552247,2.48,3.545727761328568,151532,1.336261155863463
H01-BEA2,130,1.483383336113191,0.7196449704142012,3.566905867454622,8,0.7133565942492757,paca,-118.23860893352784,34.18840910560693,11,1,9.593991416309013,5.38,0,131058,1.0277561405627145
H01-CCH1,47,0.685698853297424,0.4300588501584427,1.7545671167593326,4,0.4946271675977213,paca,-118.19473427204494,34.17062801301575,11,1,10.765616045845272,4.88,279.0450684742168,155882,0.5839619737402586
H01-DEB1,300,1.241838022103216,0.6388,2.7685492801771874,7,0.6381785010505725,paca,-118.19955983106364,34.09682057580613,11,0.9974683544303797,15.843114801030632,7.3,168.0363847242152,102000,0.29053791556788344
H01-FIR2,3,0.6365141682948128,0.4444444444444444,1.7999999999999998,3,0.5793801642856949,paca,-118.21556469284234,34.17285827499284,11,1,13.154462242562929,5.804,76.27549252206076,112684.41518987341,0.6340119215016636
H01-HFR1,209,0.9993306612130036,0.41528353288615194,1.7102306096080813,13,0.3896102893048988,paca,-118.28028507983583,34.22324078580839,11,1,0.14491086831512362,5.485127551020408,0,131058,1.822229837262211
H01-HNP1,239,0.766135365336093,0.46301710404229623,1.862256707853813,5,0.4760266670849057,paca,-118.17428217013232,34.19328012284418,11,0.9025641025641026,16.239794461889808,6.11,7.749737597358974,92917,0.31042680660286087
H01-OCC1,41,1.40933634550591,0.7305175490779298,3.7108167770419422,6,0.7865655908117486,paca,-118.23502371495428,34.201521140726356,11,0.9873417721518988,19.576174112256588,5.931878481012658,626.4569997741754,99417.70886075949,-0.6060578830975003
H01-OXY1,319,1.0270590598494362,0.5128487337978203,2.0527504891775763,9,0.46743472216871873,paca,-118.20939813219788,34.126927657671985,11,0.9458762886597938,22.518646012621915,5.275,219.10074050311647,90455.59278350516,-0.4127994556124806
H01-RHR1,4,0,0,1,2,0,paca,-118.15865713228422,34.21804765416623,11,1,3.228784403669725,5.233038363171355,108.00268113546782,107729.91815856777,1.4292991004673439
H01-SPS1,92,1.12219541802568,0.5614366729678639,2.280172413793103,6,0.6263091878672512,paca,-118.16734266948976,34.124358734572354,11,0.8835443037974684,21.45995423340961,5.7174750830564784,434.1582661118228,119823.51898734177,-0.6851888673355667
H01-TMC1,411,0.9289522487225862,0.5521160779299199,2.232721360878702,6,0.5184581215707527,paca,-118.18140606023437,34.17571692711669,11,1,16.039862345856037,6.2,251.3504244876183,221375,0.1747749121403051
H01-WAV1,312,0.16337275990224348,0.06254109138724528,1.0667134215832383,4,0.11784853526365498,paca,-118.31108646234128,34.24302479928483,11,0.9139240506329114,1.9922658264107707,5.8390126582278485,73.68838803116098,68532.6835443038,1.4441279586429363
H01-WWD1,552,0.6831348527783233,0.3003636315900019,1.4293139195616886,10,0.2966816969574161,paca,-118.2582246305454,34.21661561280118,11,1,5.188376753507014,5.38,21.862572113939393,131058,1.3711255982820378
H18,161,0.46384774900026454,0.2570888468809073,1.3460559796437657,4,0.33459542360509514,oaca,-122.12281431345347,37.7423411134739,10,1,15.405103211009175,4.58,7.609247258358723,120972,0.5297454082932449
HBT,3,0.6365141682948128,0.4444444444444444,1.7999999999999998,3,0.5793801642856949,oaca,-122.1082052795166,37.72840774799266,10,0.87409200968523,0.8116066323613493,2.48,0,151532,1.5736806366613922
HT,340,0.7843240412155981,0.36198961937716256,1.5673726170783957,8,0.37718013490391145,oaca,-122.12520031814924,37.775504171738376,10,1,4.21461318051576,2.48,2.1586806917292702,151532,1.477380311752537
IRC01,20,0.6881388137135884,0.4949999999999999,1.9801980198019795,3,0.626370941606566,lbca,-117.74100210763476,33.77069310192292,11,0.871536523929471,3.301087578706354,5.49,0.012874805042622166,102567.83375314862,1.3604435228288365
IRC02,173,1.511541644419025,0.7116174947375455,3.4676167303904526,9,0.6879322487151156,lbca,-117.7253524420718,33.76796313242066,11,0.9974358974358974,1.9954075774971298,5.49,0.06759880769072307,112655.06410256411,1.6626372921464687
IRC03,12,1.5607104090414063,0.7777777777777777,4.499999999999999,6,0.8710490642551527,lbca,-117.70310242313036,33.76085865201455,11,1,1.3990260670295045,5.49,0,116650.22081218274,1.7167844944112418
IRC04,17,0.4437572842601484,0.2145328719723183,1.2731277533039649,4,0.32010321668023506,lbca,-117.68302581073524,33.75233115011393,11,1,2.061962134251291,4.886405063291139,0.10700018681983545,141315.82025316457,1.6609127805621247
IRC05,3,0.6365141682948128,0.4444444444444444,1.7999999999999998,3,0.5793801642856949,lbca,-117.66801033275596,33.745793332380615,11,0.9923469387755102,3.1890575766256086,4.18,6.315636905781123,122361.25,1.546764410528605
