Site,season,City,Long,Lat,Black.bear,Bobcat,Brush.Rabbit,California.Ground.Squirrel,Coyote,Deer,Domestic.cat,Domestic.dog,Douglas.squirrel,Eastern.gray.squirrel,Elk,Fox.squirrel,Gray.fox,Mountain.lion,Rabbit,Raccoon,Red.fox,Stoat,Striped.Skunk,Virginia.opossum,Weasel..cannot.ID.,Western.Chipmunks,Western.gray.squirrel,utmZone,prop_veg,imp_surf,rank_buff,huden2010,med_inc,urb_pca,J
CalT03,JU21,lbca,-117.90364066179934,33.80272646064966,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,11,0,0,0,11,0.29411764705882354,22.98395415472779,6.766828644501278,557.0963073584496,59314.05298013245,-1.8665888255665464,30
CB,AP21,oaca,-122.18035727643792,37.803142529093726,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0.9975550122249388,16.24641422834194,2.4214914425427874,568.6646909406038,188351.35696821517,-0.23896796798279063,22
CB,JA21,oaca,-122.18035727643792,37.803142529093726,0,0,0,0,5,15,0,0,0,0,0,4,0,0,0,0,0,0,3,1,0,0,0,10,0.9975550122249388,16.24641422834194,2.4214914425427874,568.6646909406038,188351.35696821517,-0.23896796798279063,30
CB,JU21,oaca,-122.18035727643792,37.803142529093726,0,0,0,0,5,0,0,0,0,0,0,12,0,0,1,4,0,0,0,0,0,0,0,10,0.9975550122249388,16.24641422834194,2.4214914425427874,568.6646909406038,188351.35696821517,-0.23896796798279063,25
CR,AP21,oaca,-122.14567601162236,37.75473747299067,0,0,0,0,2,11,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0.9876847290640394,20.38950988822012,4.438128078817734,269.7375870749785,126923.68472906404,-0.2325211852787976,54
CR,JA21,oaca,-122.14567601162236,37.75473747299067,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,10,0.9876847290640394,20.38950988822012,4.438128078817734,269.7375870749785,126923.68472906404,-0.2325211852787976,27
CR,JU21,oaca,-122.14567601162236,37.75473747299067,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,10,0.9876847290640394,20.38950988822012,4.438128078817734,269.7375870749785,126923.68472906404,-0.2325211852787976,34
DK,AP21,oaca,-122.20900282254252,37.74296907041338,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0.5441176470588235,13.614392201834862,7.46,0,53580,-0.00725038562785662,30
DK,JU21,oaca,-122.20900282254252,37.74296907041338,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.5441176470588235,13.614392201834862,7.46,0,53580,-0.00725038562785662,32
DY,AP21,oaca,-122.18298694516211,37.78612625493866,0,0,0,0,0,0,47,0,0,0,0,9,0,0,0,1,0,0,0,46,0,0,0,10,0.8540145985401459,21.510461450272285,4.12,1093.333998774348,118289.66909975668,-1.5502322200600316,24
DY,JU21,oaca,-122.18298694516211,37.78612625493866,0,0,0,0,0,0,26,0,0,0,0,8,0,0,0,7,0,0,1,19,0,0,0,10,0.8540145985401459,21.510461450272285,4.12,1093.333998774348,118289.66909975668,-1.5502322200600316,32
ED01,AP21,lbca,-117.98770203485851,33.804787626724554,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,11,0.03787878787878788,22.982501434308663,7.83030303030303,49.97469405171111,53489.72727272727,-1.6307143433893103,32
ED01,JU21,lbca,-117.98770203485851,33.804787626724554,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.03787878787878788,22.982501434308663,7.83030303030303,49.97469405171111,53489.72727272727,-1.6307143433893103,30
ED05,AP21,lbca,-117.92932622641054,33.807315562752066,0,0,0,0,4,0,65,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,0.8477157360406091,23.127830323875035,6.142081218274112,2056.544725047477,56319,-2.8877067230056572,40
ED05,JU21,lbca,-117.92932622641054,33.807315562752066,0,0,2,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.8477157360406091,23.127830323875035,6.142081218274112,2056.544725047477,56319,-2.8877067230056572,30
ED06,AP21,lbca,-117.86499394691326,33.813104579469865,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,11,0.09511568123393316,22.877147766323024,8.05,2.041586310493573,66707,-1.475038502685102,39
ED07,AP21,lbca,-117.8522994739004,33.813192955781574,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.4759493670886076,23.20916905444126,6.845037974683545,553.5917519382184,86612.5493670886,-1.6031958357082554,34
ELMOD,AP21,lbca,-117.79282699635732,33.79870845016335,0,0,9,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0.9370277078085644,17.64300028628686,5.121183879093199,136.63467876646598,126768.45340050376,0.08565594920955563,14
