Species,locationID,city,season,count,Site,utmEast,utmNorth,utmZone,long,lat
Coyote,2338,tawa,JA21,3,P-BLP,554358.4375,5223381,10,-122.28283031300815,47.16168229763593
Coyote,2338,tawa,JU21,4,P-BLP,554358.4375,5223381,10,-122.28283031300815,47.16168229763593
Coyote,2341,tawa,AP21,16,P-RWSR,555692.8125,5197156,10,-122.26845992226573,46.92559930766051
Coyote,2341,tawa,JA21,11,P-RWSR,555692.8125,5197156,10,-122.26845992226573,46.92559930766051
Coyote,2341,tawa,JU21,12,P-RWSR,555692.8125,5197156,10,-122.26845992226573,46.92559930766051
Coyote,2341,tawa,OC20,29,P-RWSR,555692.8125,5197156,10,-122.26845992226573,46.92559930766051
Coyote,2342,tawa,AP21,12,P-OLT,555380.3125,5195714,10,-122.2727399501913,46.91265010614948
Coyote,2342,tawa,JA21,22,P-OLT,555380.3125,5195714,10,-122.2727399501913,46.91265010614948
Coyote,2342,tawa,JU21,1,P-OLT,555380.3125,5195714,10,-122.2727399501913,46.91265010614948
Coyote,2342,tawa,OC20,10,P-OLT,555380.3125,5195714,10,-122.2727399501913,46.91265010614948
Coyote,2342,tawa,OC21,3,P-OLT,555380.3125,5195714,10,-122.2727399501913,46.91265010614948
Coyote,2346,tawa,JU21,2,G-SB,535535,5238409,10,-122.52996962188311,47.298191196125245
Coyote,2346,tawa,OC20,2,G-SB,535535,5238409,10,-122.52996962188311,47.298191196125245
Coyote,2347,tawa,AP21,16,G-VP,536300.4375,5236384,10,-122.5200102255112,47.27992829292994
Coyote,2347,tawa,OC20,5,G-VP,536300.4375,5236384,10,-122.5200102255112,47.27992829292994
Coyote,2354,tawa,AP21,9,G-TNC2,538575.5,5231997,10,-122.49030793253215,47.240324138072616
Coyote,2354,tawa,JA21,5,G-TNC2,538575.5,5231997,10,-122.49030793253215,47.240324138072616
Coyote,2354,tawa,JU21,3,G-TNC2,538575.5,5231997,10,-122.49030793253215,47.240324138072616
Coyote,2354,tawa,OC20,3,G-TNC2,538575.5,5231997,10,-122.49030793253215,47.240324138072616
Coyote,2362,tawa,AP21,1,G-WLP2,540043.0625,5225041.5,10,-122.47154011345283,47.177650308061786
Coyote,2364,tawa,OC20,2,G-CLP3,537040.125,5232645.5,10,-122.51054008250263,47.24624781414887
Coyote,3376,oaca,AP21,1,HBT,578585.875,4176056.25,10,-122.1082052795166,37.72840774799266
Coyote,3377,oaca,JA21,2,BT,579523.4375,4177573.25,10,-122.09740103019818,37.74199827050061
Coyote,3377,oaca,JU21,2,BT,579523.4375,4177573.25,10,-122.09740103019818,37.74199827050061
Coyote,3378,oaca,AP21,2,GT,577615.25,4179526.25,10,-122.11884806430689,37.75976297425415
Coyote,3379,oaca,AP21,2,HT,577039.375,4181267.5,10,-122.12520031814923,37.775504171738376
Coyote,3379,oaca,JA21,25,HT,577039.375,4181267.5,10,-122.12520031814923,37.775504171738376
Coyote,3379,oaca,JU21,9,HT,577039.375,4181267.5,10,-122.12520031814923,37.775504171738376
Coyote,3379,oaca,OC20,4,HT,577039.375,4181267.5,10,-122.12520031814923,37.775504171738376
Coyote,3379,oaca,OC21,7,HT,577039.375,4181267.5,10,-122.12520031814923,37.775504171738376
Coyote,3380,oaca,AP21,1,MT,575692,4183114.25,10,-122.1403056978608,37.7922600644958
Coyote,3380,oaca,JA21,14,MT,575692,4183114.25,10,-122.1403056978608,37.7922600644958
Coyote,3380,oaca,OC20,10,MT,575692,4183114.25,10,-122.1403056978608,37.7922600644958
Coyote,3380,oaca,OC21,29,MT,575692,4183114.25,10,-122.1403056978608,37.7922600644958
Coyote,3384,oaca,AP21,7,CB,572155,4184290,10,-122.18035727643793,37.803142529093726
Coyote,3384,oaca,JA21,5,CB,572155,4184290,10,-122.18035727643793,37.803142529093726
Coyote,3384,oaca,JU21,5,CB,572155,4184290,10,-122.18035727643793,37.803142529093726
Coyote,3384,oaca,OC20,41,CB,572155,4184290,10,-122.18035727643793,37.803142529093726
Coyote,3384,oaca,OC21,4,CB,572155,4184290,10,-122.18035727643793,37.803142529093726
Coyote,3385,oaca,AP21,1,H9,577839,4177710,10,-122.11650280493086,37.74337553472942
Coyote,3385,oaca,JA21,2,H9,577839,4177710,10,-122.11650280493086,37.74337553472942
Coyote,3385,oaca,OC20,1,H9,577839,4177710,10,-122.11650280493086,37.74337553472942
Coyote,3385,oaca,OC21,3,H9,577839,4177710,10,-122.11650280493086,37.74337553472942
Coyote,3386,oaca,AP21,7,H18,577284,4177590,10,-122.12281431345347,37.7423411134739
Coyote,3386,oaca,JA21,4,H18,577284,4177590,10,-122.12281431345347,37.7423411134739
Coyote,3386,oaca,JU21,6,H18,577284,4177590,10,-122.12281431345347,37.7423411134739
Coyote,3386,oaca,OC20,5,H18,577284,4177590,10,-122.12281431345347,37.7423411134739
Coyote,3386,oaca,OC21,8,H18,577284,4177590,10,-122.12281431345347,37.7423411134739
Coyote,3387,oaca,AP21,2,CR,575257.1875,4178946.75,10,-122.14567601162237,37.75473747299067
Coyote,3387,oaca,JA21,1,CR,575257.1875,4178946.75,10,-122.14567601162237,37.75473747299067
Coyote,3387,oaca,OC20,4,CR,575257.1875,4178946.75,10,-122.14567601162237,37.75473747299067
Coyote,3388,oaca,AP21,2,KP,575871.8125,4179126,10,-122.13868074443944,37.75630213894664
