Site,season,City,Long,Lat,Black.bear,Bobcat,Brush.Rabbit,California.Ground.Squirrel,Coyote,Deer,Domestic.cat,Domestic.dog,Douglas.squirrel,Eastern.gray.squirrel,Elk,Fox.squirrel,Gray.fox,Mountain.lion,Rabbit,Raccoon,Red.fox,Stoat,Striped.Skunk,Virginia.opossum,Weasel..cannot.ID.,Western.Chipmunks,Western.gray.squirrel,utmZone,prop_veg,imp_surf,rank_buff,huden2010,med_inc,urb_pca
AB,AP21,oaca,-122.23759206133576,37.79586579832616,0,0,0,0,0,0,180,0,0,0,0,15,0,0,0,12,0,0,0,1,0,0,0,10,0.6593137254901961,22.52335912869017,4.127254901960784,2704.205826857794,60029.39705882353,-3.926322965433388
BT,JA21,oaca,-122.09740103019818,37.74199827050061,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,1,2.0165998855180307,2.48,0,151532,1.6648592142670726
CB,AP21,oaca,-122.18035727643792,37.803142529093726,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0.9975550122249389,16.24641422834194,2.4214914425427874,568.6646909406038,188351.35696821517,-0.23896796798279066
CR,AP21,oaca,-122.14567601162236,37.75473747299067,0,0,0,0,2,11,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0.9876847290640394,20.389509888220122,4.438128078817734,269.7375870749785,126923.68472906404,-0.23252118527879762
DK,AP21,oaca,-122.20900282254252,37.74296907041338,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0.5441176470588235,13.614392201834862,7.46,0,53580,-0.007250385627856626
DY,AP21,oaca,-122.18298694516211,37.78612625493866,0,0,0,0,0,0,47,0,0,0,0,9,0,0,0,1,0,0,0,46,0,0,0,10,0.8540145985401459,21.510461450272285,4.12,1093.333998774348,118289.66909975669,-1.5502322200600316
EN,JA21,oaca,-122.20792986879542,37.73048775392695,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.18491484184914841,20.61461318051576,7.46,1.1203054383375182,53580,-1.1463768394637428
GT,AP21,oaca,-122.11884806430687,37.75976297425415,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,5.872602347552247,2.48,3.545727761328568,151532,1.336261155863463
H18,AP21,oaca,-122.12281431345347,37.7423411134739,0,0,0,0,7,54,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,1,15.405103211009175,4.58,7.609247258358723,120972,0.5297454082932449
HBT,AP21,oaca,-122.1082052795166,37.72840774799266,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.87409200968523,0.8116066323613493,2.48,0,151532,1.5736806366613922
HT,JA21,oaca,-122.12520031814924,37.775504171738376,0,11,85,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,4.21461318051576,2.48,2.1586806917292702,151532,1.477380311752537
MA,AP21,oaca,-122.19667933091584,37.72322142384811,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,0,1,3,0,0,0,10,0.6256038647342995,23.495420721236407,7.456473429951691,0.32604617014541065,62456.3768115942,-0.7138657039608634
MT,AP21,oaca,-122.1403056978608,37.7922600644958,0,1,0,0,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,5.0923429882420415,2.515170731707317,4.625105755316049,151022.9804878049,1.4005293502964204
MY,JA21,oaca,-122.209320587315,37.7778336851881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.8102189781021898,22.80280882774434,4.945863746958637,2339.458053038102,68799.9805352798,-3.267776901552151
PER,AP21,oaca,-122.19950062871013,37.714642110545945,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,34,0,0,7,161,0,0,0,10,0.8401937046004843,18.201432664756446,7.455399515738499,10.199430304884261,65159.418886198546,0.04710744752025381
WP,AP21,oaca,-122.14016165799896,37.753773534843326,0,1,0,0,5,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,1,19.43989696622782,4.58,2.205100803882767,120972,0.1971890614478422
CalT01,AP21,lbca,-117.91630006668773,33.815719290585086,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.46329113924050636,23.10863350485992,7.0969113924050635,135.13118313815443,55803.26845637584,-1.0963008857940766
CalT02,AP21,lbca,-117.88108802642428,33.8052705724534,0,0,8,0,11,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,11,0.39285714285714285,23.059885386819484,7.23,0,78140.47959183673,-1.0326762904009865
CalT03,AP21,lbca,-117.90364066179934,33.80272646064966,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,11,0.29411764705882354,22.983954154727794,6.766828644501278,557.0963073584496,59314.05298013245,-1.8665888255665464
ED01,AP21,lbca,-117.98770203485851,33.804787626724554,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,11,0.03787878787878788,22.982501434308663,7.83030303030303,49.97469405171111,53489.72727272727,-1.6307143433893105
ED05,JU21,lbca,-117.92932622641054,33.807315562752066,0,0,2,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.8477157360406091,23.127830323875035,6.142081218274112,2056.544725047477,56319,-2.8877067230056572
ED06,AP21,lbca,-117.86499394691326,33.813104579469865,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,11,0.09511568123393316,22.877147766323024,8.05,2.041586310493573,66707,-1.475038502685102
ED07,AP21,lbca,-117.8522994739004,33.813192955781574,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.4759493670886076,23.20916905444126,6.845037974683545,553.5917519382184,86612.5493670886,-1.6031958357082554
ELMOD,AP21,lbca,-117.79282699635732,33.79870845016335,0,0,9,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0.9370277078085643,17.64300028628686,5.121183879093199,136.63467876646598,126768.45340050377,0.08565594920955563
H01-BEA2,AP21,paca,-118.23860893352784,34.18840910560693,0,11,0,4,4,5,0,0,0,0,0,4,0,0,30,0,0,0,1,0,0,0,0,11,1,9.593991416309013,5.38,0,131058,1.0277561405627145
H01-CCH1,AP21,paca,-118.19473427204494,34.17062801301575,1,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,10.765616045845272,4.88,279.0450684742168,155882,0.5839619737402586
H01-DEB1,AP21,paca,-118.19955983106364,34.09682057580613,0,0,0,17,4,0,1,0,0,0,0,29,0,0,32,0,0,0,7,0,0,0,0,11,0.9974683544303797,15.843114801030632,7.3,168.0363847242152,102000,0.29053791556788344
H01-FIR2,AP21,paca,-118.21556469284234,34.17285827499284,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,13.154462242562929,5.804,76.27549252206076,112684.41518987341,0.6340119215016636
H01-HFR1,AP21,paca,-118.28028507983583,34.22324078580839,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,11,1,0.14491086831512362,5.485127551020408,0,131058,1.822229837262211
H01-HNP1,OC20,paca,-118.17428217013232,34.19328012284418,0,4,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.9025641025641026,16.239794461889808,6.11,7.749737597358974,92917,0.31042680660286087
H01-OCC1,AP21,paca,-118.23502371495428,34.201521140726356,0,0,0,0,2,12,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,0.9873417721518988,19.576174112256588,5.931878481012658,626.4569997741754,99417.70886075949,-0.6060578830975003
H01-OXY1,JA21,paca,-118.20939813219788,34.126927657671985,1,0,0,0,1,0,0,1,0,0,0,43,0,0,17,211,0,0,1,0,0,0,0,11,0.9458762886597938,22.518646012621915,5.275,219.10074050311647,90455.59278350516,-0.4127994556124806
H01-RHR1,JU21,paca,-118.15865713228422,34.21804765416623,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,3.228784403669725,5.233038363171355,108.00268113546782,107729.91815856777,1.4292991004673439
H01-SPS1,JU21,paca,-118.16734266948976,34.124358734572354,0,0,0,12,0,0,0,4,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,11,0.8835443037974684,21.45995423340961,5.7174750830564784,434.1582661118228,119823.51898734177,-0.6851888673355667
H01-TMC1,AP21,paca,-118.18140606023437,34.17571692711669,0,1,0,0,20,20,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,1,16.039862345856037,6.2,251.3504244876183,221375,0.1747749121403051
H01-WAV1,JA21,paca,-118.31108646234128,34.24302479928483,0,4,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,11,0.9139240506329114,1.9922658264107707,5.8390126582278485,73.68838803116098,68532.6835443038,1.4441279586429363
H01-WWD1,JA21,paca,-118.2582246305454,34.21661561280118,0,1,0,0,0,0,0,171,0,0,0,0,1,0,36,0,0,0,1,0,0,0,0,11,1,5.188376753507014,5.38,21.862572113939393,131058,1.3711255982820378
