State FIPS Code,Rank
53017950400,4
53017950500,8
53017950600,3
53017950700,8
53017950800,8
53019940000,3
53019970100,4
53019970200,1
53021020100,9
53021020200,10
53021020300,10
53021020400,10
53021020501,3
53021020502,6
53021020601,6
53021020603,7
53021020605,5
53021020606,4
53021020700,9
53021020800,4
53021980100,1
53023970300,3
53025010100,2
53025010200,5
53025010300,4
53025010400,5
53025010500,4
53025010600,4
53025010700,6
53025010800,9
53025010901,7
53025010902,8
53025011000,7
53025011100,7
53025011200,3
53025011300,5
53025011401,2
53025011402,4
53027000200,2
53027000300,2
53027000400,2
53027000500,4
53027000600,3
53027000700,5
53027000800,2
53027000900,8
53027001000,8
53027001100,2
53027001200,7
53027001300,5
53027001400,2
53027001500,2
53027001600,2
53027940000,1
53027990000,1
53029970100,1
53029970200,2
53029970300,2
53029970400,2
53029970500,1
53029970601,1
53029970602,3
53029970700,2
53029970800,1
53029970900,2
53029971000,1
53029971100,1
53029971300,1
53029971400,1
53029971500,1
53029971600,1
53029971700,1
53029971800,1
53029971900,1
53029972000,1
53029972100,1
53029992201,1
53031950202,1
53031950300,1
53031950400,2
53031950500,1
53031950601,3
53031950602,1
53031950702,1
53031990000,1
53033000100,8
53033000200,8
53033000300,7
53033000401,8
53033000402,6
53033000500,1
53033000600,8
53033000700,9
53033000800,2
53033000900,4
53033001000,5
53033001100,7
53033001200,9
53033001300,9
53033001400,3
53033001500,1
53033001600,3
53033001701,9
53033001702,7
53033001800,6
53033001900,8
53033002000,7
53033002100,5
53033002200,5
53033002400,3
53033002500,4
53033002600,6
53033002700,4
53033002800,4
53033002900,3
53033003000,4
53033003100,2
53033003200,2
53033003300,4
53033003400,6
53033003500,5
53033003600,7
53033003800,2
53033003900,1
53033004000,3
53033004100,2
53033004200,2
53033004301,5
53033004302,7
53033004400,6
53033004500,3
53033004600,5
53033004700,4
53033004800,4
53033004900,7
53033005000,2
53033005100,3
53033005200,9
53033005301,9
53033005302,7
53033005400,5
53033005600,3
53033005700,3
53033005801,4
53033005802,7
53033005900,5
53033006000,5
53033006100,6
53033006200,1
53033006300,1
53033006400,7
53033006500,7
53033006600,6
53033006700,3
53033006800,7
53033006900,4
53033007000,6
53033007100,8
53033007200,8
53033007300,10
53033007401,7
53033007402,10
53033007500,6
53033007600,10
53033007700,6
53033007800,5
53033007900,9
53033008001,7
53033008002,10
53033008100,9
53033008200,9
53033008300,9
53033008400,6
53033008500,10
53033008600,8
53033008700,9
53033008800,6
53033008900,10
53033009000,9
53033009100,10
53033009200,10
53033009300,9
53033009400,10
53033009500,9
53033009600,4
53033009701,1
53033009702,3
53033009800,4
53033009900,9
53033010001,10
53033010002,8
53033010100,10
53033010200,7
53033010300,8
53033010401,10
53033010402,9
53033010500,5
53033010600,5
53033010701,9
53033010702,10
53033010800,10
53033010900,10
53033011001,10
53033011002,10
53033011101,10
53033011102,9
53033011200,10
53033011300,10
53033011401,9
53033011402,10
53033011500,5
53033011600,7
53033011700,10
53033011800,10
53033011900,9
53033012000,5
53033012100,3
53033020100,2
53033020200,4
53033020300,7
53033020401,8
53033020402,7
53033020500,6
53033020600,4
53033020700,7
53033020800,3
53033020900,5
53033021000,7
53033021100,9
53033021300,7
53033021400,4
53033021500,5
53033021600,3
53033021700,7
53033021802,8
53033021803,2
53033021804,5
53033021903,8
53033021904,6
53033021905,7
